bloco,chave,qtd,pct,variantes
B2_NORM,GLOBAL HEAD OF PROCUREMENT,12,0.33,1
B2_NORM,"CEO PEC ENERGY (CONTROLADORA SERRA DA IBIAPABA 4/6/7, CARNAUBAL CE)",11,0.30,1
B2_NORM,"FACILITADOR, ARTICULADOR COM BOA ...",11,0.30,1
B2_NORM,ENGENHARIA  DE MECANICA,10,0.28,1
B2_NORM,"DIRETOR DE SUPRIMENTOS, GERENTE DE ...",10,0.28,1
B2_NORM,HEAD DE COMPRAS,10,0.28,1
B2_NORM,GERENTE DE SUPRIMENTOS & SUPPLY CHAIN,10,0.28,1
B2_NORM,SUPPLY CHAIN MANAGER OPEX,9,0.25,1
B2_NORM,AGIS CONSTRUCAO S.A,9,0.25,1
B2_NORM,DIRETOR DE OPERACOES / ENGENHEIRO ELETRICISTA - GRUPO RIALMA,9,0.25,1
B2_NORM,COORDENADOR REGIONAL DE OPERACOES (SARANDI) - ISA CTEEP,9,0.25,1
B2_NORM,COORDENADOR DE SUBESTACOES E MANUTENCAO (BANDEIRANTES) - ISA CTEEP,9,0.25,1
B2_NORM,COORDENADOR DE PLANEJAMENTO DE EXPANSAO E ESTUDOS - ISA CTEEP,9,0.25,1
B2_NORM,STRATEGIC SOURCING,8,0.22,2
B2_NORM,SENIOR PROCUREMENT ANALYST,8,0.22,1
B2_NORM,CCA+. CONSELHEIRA DE ADM. DA AXIA ENERGIA S.A ...,7,0.19,1
B2_NORM,PROCUREMENT DEPARTMENT MANAGER,7,0.19,1
B2_NORM,GERENTE DE SUPPLY CHAIN,7,0.19,1
B2_NORM,LEAD SOURCING SPECIALIST,7,0.19,1
B2_NORM,ENGENHEIRO CIVIL ESPECIALISTA EM RSU,7,0.19,1
B2_NORM,COMMERCIAL DIRECTOR TOWAGE (REBOCADORES) WILSON SONS,7,0.19,1
B2_NORM,SENIOR PROCUREMENT MANAGER,7,0.19,2
B2_NORM,AUREN ENERGIA S.A,6,0.17,1
B2_NORM,COMPRADOR CAPEX,6,0.17,1
B2_NORM,AVIVAR ALIMENTOS S/A.,6,0.17,1
B2_NORM,GERENTE DE COMPRAS E SUPRIMENTOS / EXECUTIVA ...,6,0.17,1
B2_NORM,SR PROJECT ENGINEER,6,0.17,1
B2_NORM,GERENTE INDUSTRIAL,6,0.17,1
B2_NORM,NAO ESPECIFICADO,6,0.17,1
B2_NORM,ENGENHEIRO CIVIL ESPECIALISTA,5,0.14,1
B2_NORM,EXECUTIVO DE COMPRAS| GERENTE DE COMPRAS,5,0.14,1
B2_NORM,PURCHASING DIRECTOR,5,0.14,1
B2_NORM,HEAD DE DESENVOLVIMENTO E COMPRAS HONDA AUTOMOVEIS (ITIRAPINA),5,0.14,1
B2_NORM,--,5,0.14,1
B2_NORM,HEAD OF ACCOUNTING,5,0.14,1
B2_NORM,DIRETOR COMERCIAL DP WORLD SANTOS,5,0.14,1
B2_NORM,SOCIO DA VERTICE. MEMBRO TITULAR DO CONSELHO FISCAL ...,5,0.14,1
B2_NORM,ENGENHEIRO MECANICO,5,0.14,1
B2_NORM,SUPPLY CHAIN / PROCUREMENT / CAPEX / PROJECT AND ...,5,0.14,1
B2_NORM,SUPERVISAO,5,0.14,1
B2_NORM,GERENTE SUPPLY CHAIN,5,0.14,1
B2_NORM,GERENTE DE SUPRIMENTOS PLANO ...,4,0.11,1
B2_NORM,COORDENADOR SUPPLY CHAIN - PRIO S.A.,4,0.11,1
B2_NORM,DIRETOR DE SUPRIMENTOS AMERICA LATINA ...,4,0.11,1
B2_NORM,COMPRADOR ESPECIALISTA,4,0.11,1
B2_NORM,GERENTE DE LOGISTICA,4,0.11,1
B2_NORM,ESPECIALISTA EM STRATEGIC SOURCING,4,0.11,1
B2_NORM,"SUPPLY CHAIN PLANNING, PROJECTS AND DIGITAL ...",4,0.11,1
B2_NORM,GERENTE DE PROJETOS ...,4,0.11,1
B2_NORM,PROJECT ENGINEER,4,0.11,2
B2_NORM,STRATEGIC SOURCING SPECIALIST,4,0.11,1
B2_NORM,CHIEF PROCUREMENT OFFICER,4,0.11,1
B2_NORM,ENGENHEIRO MECANICO (GERENCIA ...,4,0.11,1
B2_NORM,ENGENHARIA DE PLANEJAMENTO,4,0.11,1
B2_NORM,ENGENHEIRO CIVIL AVALIADOR,4,0.11,1
B2_NORM,ENGENHEIRO CIVIL SENIOR,4,0.11,1
B2_NORM,PROCUREMENT MANAGER LATAM,4,0.11,1
B2_NORM,COMPRADORA,4,0.11,2
B2_NORM,SANEPAR CIA DE SANEAMENTO DO PARANA,4,0.11,1
B2_NORM,DIRETOR SUPPLY CHAIN · GERDAU ACOS BRASIL,4,0.11,1
B2_NORM,COO - PRIO S.A.,4,0.11,1
B2_NORM,GERENTE DE PROJETOS SENIOR,3,0.08,1
B2_NORM,GERENTE DE PROJETOS SENIOR ...,3,0.08,1
B2_NORM,PROCUREMENT MANAGER ELETROBRAS,3,0.08,1
B2_NORM,GERENTE DE SUPRIMENTOS PARA PROJETOS,3,0.08,1
B2_NORM,CONTRACTS & PROCUREMENT MANAGER,3,0.08,1
B2_NORM,HEAD OF SUPPLY CHAIN,3,0.08,2
B2_NORM,GERENTE DE PROJETOS E ENGENHARIA,3,0.08,1
B2_NORM,GENERAL OPERATIONS MANAGER,3,0.08,1
B2_NORM,LOGISTICS & SUPPLY CHAIN,3,0.08,1
B2_NORM,SENIOR PURCHASING & SUPPLY CHAIN EXECUTIVE,3,0.08,1
B2_NORM,"DIRETOS, INDIRETOS & CAPEX",3,0.08,1
B2_NORM,MBA IN SUPPLY CHAIN MANAGEMENT.,3,0.08,1
B2_NORM,GERENTE DE COMPRAS COAMO,3,0.08,1
B2_NORM,GERENTE INDUSTRIAL E DE MANUTENCAO,3,0.08,1
B2_NORM,"GERENTE DE ENGENHARIA, MANUTENCAO E ENERGIAS",3,0.08,1
B2_NORM,EXECUTIVA SENIOR DE SUPPLY CHAIN EM DEMANDAS ...,3,0.08,1
B2_NORM,GLOBAL PROCUREMENT LEADER,3,0.08,1
B2_NORM,GERENTE DE ENGENHARIA DE MANUTENCAO,3,0.08,1
B2_NORM,SUPRIMENTOS CAPEX,3,0.08,1
B2_NORM,GERENTE DE SUPRIMENTOS ...,3,0.08,1
B2_NORM,ESPECIALISTAS EM LOGISTICA E SUPPLY CHAIN.,3,0.08,1
B2_NORM,COMPRADORA CAPEX I AXIA ENERGIA,3,0.08,1
B2_NORM,ENGENHEIRA PROJETISTA,2,0.06,1
B2_NORM,ENGENHEIRO DE PROJETOS DE ELETRICIDADE,2,0.06,1
B2_NORM,COMPRADOR ESTRATEGICO,2,0.06,1
B2_NORM,GERENTE DE SUPRIMENTOS DE PROJETO,2,0.06,1
B2_NORM,GERENTE DE SUPRIMENTOS EM PROJETOS,2,0.06,1
B2_NORM,TAX & ACCOUNTING DIRECTOR,2,0.06,1
B2_NORM,DIRETOR DE SUPPLY CHAIN LATAM,2,0.06,1
B2_NORM,ESPECIALISTA COMPRAS CAPEX,2,0.06,1
B2_NORM,EXECUTIVO DE SUPPLY CHAIN AND PROCUREMENT,2,0.06,1
B2_NORM,SUPPLY CHAIN TRANSFORMATION LEADER,2,0.06,1
B2_NORM,SUPPLY CHAIN DIRECTOR,2,0.06,1
B2_NORM,DIRETORA JURIDICA E COMPLIANCE,2,0.06,1
B2_NORM,SUBESTACOES); SOURCING; PROCUREMENT.,2,0.06,1
B2_NORM,LEAD SUPPLY CHAIN OPTIMIZATION,2,0.06,1
B2_NORM,DIRETORA REGIONAL DE SUPPLY CHAIN,2,0.06,1
B2_NORM,GERENTE COMERCIAL RAIZEN COMBUSTIVEIS SA,2,0.06,1
B2_NORM,MAINTENANCE MANAGER L TECHNICAL ...,2,0.06,1
B2_NORM,"MANAGER, GLOBAL TECHNICAL SALES TEAM",2,0.06,1
B2_NORM,SUPPLY CHAIN / PURCHASING MANAGER / ADMINISTRATOR ...,2,0.06,1
B2_NORM,COMPRADOR SR,2,0.06,1
B2_NORM,GERENTE DE ENGENHARIA - GRUPO AGIS,2,0.06,1
B2_NORM,GERENTE DE ENGENHARIA / ENGENHEIRA CIVIL ...,2,0.06,1
B2_NORM,PROCUREMENT,2,0.06,1
B2_NORM,PROCUREMENT & STRATEGIC SOURCING,2,0.06,1
B2_NORM,GERENTE DE ENGENHARIA DE TUBULACAO,2,0.06,1
B2_NORM,"PROCUREMENT, SUPRIMENTOS, SUPPLY CHAIN, COMPRAS ...",2,0.06,1
B2_NORM,DIRETOR DE ENGENHARIA,2,0.06,1
B2_NORM,PROJECT ENGINEERING,2,0.06,1
B2_NORM,COMPRADOR PLENO RRP ENERGIA LTDA,2,0.06,1
B2_NORM,PROJETOS,2,0.06,1
B2_NORM,CATEGORY BUYER,2,0.06,1
B2_NORM,GERENTE DE OPERACOES - AGRION FERTILIZANTES,2,0.06,1
B2_NORM,"PURCHASING, PROCUREMENT, CONTRACTS MANAGEMENT",2,0.06,1
B2_NORM,ENGENHEIRO CIVIL DE PROJETOS,2,0.06,1
B2_NORM,ASSISTENTE ADMINISTRATIVO SUPPLY CHAIN ...,2,0.06,1
B2_NORM,COORDENADOR DE SUPRIMENTOS DE ENGENHARIA,2,0.06,1
B2_NORM,ARAUCO CELULOSE DO BRASIL S.A,2,0.06,1
B2_NORM,COORDENADOR DE OPERACOES,2,0.06,1
B2_NORM,SENIOR BUYER,2,0.06,1
B2_NORM,DIRETOR CONTROLADORIA E FINANCAS,2,0.06,1
B2_NORM,SENIOR PURCHASING MANAGER,2,0.06,1
B2_NORM,COORDENADOR DE COMPRAS,2,0.06,1
B2_NORM,SOFTWARE ENGINEERING MANAGER,2,0.06,1
B2_NORM,SR DC CAPEX PROCUREMENT MANAGER,2,0.06,1
B2_NORM,"GERENTE DE PROJETOS, GERENTE DE CONTRATOS ...",2,0.06,1
B2_NORM,ENGENHEIRO CIVIL/MILITAR,2,0.06,1
B2_NORM,STRATEGIC PROCUREMENT & CAPEX LEADER,2,0.06,1
B2_NORM,BUSINESS ADMINISTRATION / SUPPLY CHAIN,1,0.03,1
B2_NORM,PRESIDENTE - PETROCITY PORTOS (OPERADORA DO CPSM),1,0.03,1
B2_NORM,PROCUREMENT & SUPPLY CHAIN,1,0.03,1
B2_NORM,B2B & CAPEX,1,0.03,1
B2_NORM,PROCUREMENT L SUPPLY CHAIN L BUYER L PURCHASER L ...,1,0.03,1
B2_NORM,PROFISSIONAL DE COMPRAS & SUPPLY CHAIN,1,0.03,1
B2_NORM,PROFISSIONAL DE LOGISTICA E SUPPLY CHAIN,1,0.03,1
B2_NORM,PROGRAMA FEDERAL - SUBSTITUICAO 700 PONTES MADEIRA RODOVIAS FEDERAIS,1,0.03,1
B2_NORM,PROJECT MANAGER / GERENTE DE ENGENHARIA / INFRA ...,1,0.03,1
B2_NORM,PROJETISTA MECANICO,1,0.03,1
B2_NORM,PROJETISTA NO GRUPO UNIPAR,1,0.03,1
B2_NORM,PUBLIC SERVANT,1,0.03,1
B2_NORM,PURCHASING,1,0.03,1
B2_NORM,AURA MINERALS INC,1,0.03,1
B2_NORM,RAW MATERIALS PROCUREMENT,1,0.03,1
B2_NORM,REPRESENTANTE BRASIL MAGNESIO DO NORDESTE (EMPRESARIO/SOCIO),1,0.03,1
B2_NORM,"RESPONSAVEL LC TERMINAIS PORTUARIOS (LYON CAPITAL + CCCC, TGNL SAO LUIS MA)",1,0.03,1
B2_NORM,SALES REPRESENTATIVE,1,0.03,1
B2_NORM,SENIOR BUYER - FOCUS ON INFRASTRUCTURE AND IT,1,0.03,1
B2_NORM,"SENIOR BUYER, ENGINEERED MATERIALS",1,0.03,1
B2_NORM,SENIOR INFRASTRUCTURE AND TECHNOLOGY EXECUTIVE,1,0.03,1
B2_NORM,SENIOR PROCUREMENT & SUPPLY CHAIN MANAGER,1,0.03,1
B2_NORM,SENIOR STRATEGIC BUYER,1,0.03,1
B2_NORM,SERVICE PROCUREMENT MANAGER,1,0.03,1
B2_NORM,SOCIETARIO,1,0.03,1
B2_NORM,SOCIO DELCO COMERCIO E CONSTRUCOES (APOSTILAMENTO ARENA VALPARAISO II),1,0.03,1
B2_NORM,ALD BIOENERGIA DECIOLANDIA S/A,1,0.03,1
B2_NORM,SPECIALIST AFTERMARKET BUYER,1,0.03,1
B2_NORM,"SR PURCHASING MANAGER, GLOBAL SUPPLIER COST ...",1,0.03,1
B2_NORM,SR SUPPLY CHAIN & OPERATIONS LEADER,1,0.03,1
B2_NORM,STEEL SOURCING ANALYST LATAM,1,0.03,1
B2_NORM,STRATEGIC PROCUREMENT MANAGER,1,0.03,1
B2_NORM,STRATEGIC SOURCING MANAGER,1,0.03,1
B2_NORM,DIRETORA NOVOS PROJETOS GLP,1,0.03,1
B2_NORM,COORDENADOR DE SUPRIMENTOS,1,0.03,1
B2_NORM,CORPORATE COMMUNICATIONS MANAGER,1,0.03,1
B2_NORM,DHL SUPPLY CHAIN,1,0.03,1
B2_NORM,DIRETOR - INPASA AGROINDUSTRIAL,1,0.03,1
B2_NORM,COMPRADOR PLENO,1,0.03,1
B2_NORM,DIRETOR DE BUSINESS SUPERGASBRAS (SPE ULTRAGAZ+SUPERGASBRAS PECEM),1,0.03,1
B2_NORM,DIRETOR DE COMPRAS,1,0.03,1
B2_NORM,DIRETOR DE COMPRAS AMERICA LATINA,1,0.03,1
B2_NORM,"DIRETOR DE COMPRAS, SEGUROS E SERVICOS GERAIS ...",1,0.03,1
B2_NORM,DIRETOR DE RELACOES INSTITUCIONAIS,1,0.03,1
B2_NORM,DIRETOR DE SUPPLY CHAIN,1,0.03,1
B2_NORM,DIRETOR ELDORADO BRASIL CELULOSE (TRES LAGOAS MS),1,0.03,1
B2_NORM,DIRETOR EXECUTIVO - AEGEA,1,0.03,1
B2_NORM,DIRETOR INDUSTRIAL,1,0.03,1
B2_NORM,DIRETOR OPERACIONAL/DIRETOR DE ENGENHARIA VLI MULTIMODAL,1,0.03,1
B2_NORM,DIRETOR TERMINAL PORTUARIO DE ALCANTARA,1,0.03,1
B2_NORM,DIRETOR-PRESIDENTE DA TLSA (GRUPO CSN),1,0.03,1
B2_NORM,DIRETOR-PRESIDENTE INFRA S.A. (EXECUTORA PUBLICA FIOL),1,0.03,1
B2_NORM,EDISON CHOUEST OFFSHORE / BRASIL PORT,1,0.03,1
B2_NORM,COMPRADOR / PROCUREMENT / BUYER ...,1,0.03,1
B2_NORM,ENGENHARIA - MANUTENCAO - PROJETOS,1,0.03,1
B2_NORM,ENGENHARIA AMBIENTAL L LICENCIAMENTO ...,1,0.03,1
B2_NORM,COMMERCIAL SUPPLY CHAIN ANALYST,1,0.03,1
B2_NORM,ENGENHARIA DE MANUTENCAO,1,0.03,1
B2_NORM,COMMERCIAL DIRECTOR / NEW BUSINESS AGEO TERMINALS (GRUPO SIMOES + EBT),1,0.03,1
B2_NORM,ENGENHEIRO CIVIL - PORTO GUARA,1,0.03,1
B2_NORM,ENGENHEIRO CIVIL E ...,1,0.03,1
B2_NORM,ENGENHEIRO CIVIL E GEOTECNICO,1,0.03,1
B2_NORM,ENGENHEIRO CIVIL FOCADO EM GESTAO E ...,1,0.03,1
B2_NORM,ENGENHEIRO CIVIL I GERENTE DE ENGENHARIA I ...,1,0.03,1
B2_NORM,ENGENHEIRO CIVIL MASTER,1,0.03,1
B2_NORM,ENGENHEIRO CIVIL SENIOR DA ...,1,0.03,1
B2_NORM,ENGENHEIRO CIVIL/ AMBIENTAL,1,0.03,1
B2_NORM,ENGENHEIRO DE INSTALACOES,1,0.03,1
B2_NORM,COMMERCIAL AND PURCHASING MANAGER ...,1,0.03,1
B2_NORM,ENGENHEIRO DE PROJETOS DE ENGENHARIA ...,1,0.03,1
B2_NORM,ENGENHEIRO DE PROJETOS SENIOR,1,0.03,1
B2_NORM,ENGENHEIRO MECANICO DE PROJETOS,1,0.03,1
B2_NORM,ENGENHEIRO MECANICO SENIOR ...,1,0.03,1
B2_NORM,ENGINEERING MANAGER,1,0.03,1
B2_NORM,ENGINEERING SPECIALIST,1,0.03,1
B2_NORM,ESPECIALISTA EM PCP & SUPPLY CHAIN,1,0.03,1
B2_NORM,ESPECIALISTA EM SUPPLY CHAIN,1,0.03,1
B2_NORM,ESPECIALISTA SUPPLY CHAIN & LOGISTICA OFFSHORE,1,0.03,1
B2_NORM,"ESTRATEGIA, TECNOLOGIA, CAPEX/MRO, SAP ARIBA",1,0.03,1
B2_NORM,EXECUTIVO DE PROCUREMENT E SUPPLY CHAIN,1,0.03,1
B2_NORM,EXECUTIVO DE SANEAMENTO 25 ANOS DE ...,1,0.03,1
B2_NORM,EXECUTIVO DE SUPPLY CHAIN E SUPRIMENTOS,1,0.03,1
B2_NORM,EXECUTIVO SENIOR DE SUPPLY CHAIN,1,0.03,1
B2_NORM,FERTILIZERS INDUSTRIAL MANAGER,1,0.03,1
B2_NORM,FINANCEIRO DE OBRAS / CAPEX / CONTRATOS ...,1,0.03,1
B2_NORM,FUNDO DESENVOLVIMENTO INFRAESTRUTURA BA - PPP RODOVIAS 1000KM,1,0.03,1
B2_NORM,"FUNDO MARINHA MERCANTE R$409,7M - INDUSTRIA NAVAL AMAZONAS",1,0.03,1
B2_NORM,GENERAL MANAGER SUPPLY CHAIN,1,0.03,1
B2_NORM,GERENTE COMERCIAL RACAO ANIMAL NO ...,1,0.03,1
B2_NORM,GERENTE COMPRAS / COMERCIAL,1,0.03,1
B2_NORM,GERENTE DE COMPRAS E CONTRATOS SEACREST PETROLEO,1,0.03,1
B2_NORM,GERENTE DE COMPRAS E LICITACOES,1,0.03,1
B2_NORM,CEO DOF SUBSEA (CONTRATO R$11BI PETROBRAS 4 PSVS NAVSHIP),1,0.03,1
B2_NORM,GERENTE DE COMPRAS REGIONAL,1,0.03,1
B2_NORM,GERENTE DE COMPRAS SHEMAR LATAM HOLDING LTDA,1,0.03,1
B2_NORM,"GERENTE DE COMPRAS, LICITACOES E CONTRATOS",1,0.03,1
B2_NORM,GERENTE DE ENGENHARIA DE PROCESSOS,1,0.03,1
B2_NORM,GERENTE DE ENGENHARIA E ...,1,0.03,1
B2_NORM,GERENTE DE ENGENHARIA E CONSTRUCAO,1,0.03,1
B2_NORM,GERENTE DE ENGENHARIA E MANUTENCAO,1,0.03,1
B2_NORM,GERENTE DE ENGENHARIA E MANUTENCAO INDUSTRIAL,1,0.03,1
B2_NORM,CATEGORY MANAGER,1,0.03,1
B2_NORM,GERENTE DE OBRAS,1,0.03,1
B2_NORM,GERENTE DE PESQUISA E INOVACAO - PORTO DO ITAQUI (EMAP),1,0.03,1
B2_NORM,CAPITAL PROJECTS & ENGINEERING MANAGER,1,0.03,1
B2_NORM,GERENTE DE PROJETOS / GERENTE DE CONTRATOS ...,1,0.03,1
B2_NORM,GERENTE DE PROJETOS ARCELORMITTAL BRASIL,1,0.03,1
B2_NORM,GERENTE DE PROJETOS DE ENGENHARIA,1,0.03,1
B2_NORM,GERENTE DE PROJETOS DE MEIO AMBIENTE,1,0.03,1
B2_NORM,GERENTE DE PROJETOS DETECNOLOGIA DA ...,1,0.03,1
B2_NORM,GERENTE DE PROJETOS E ENGENHEIRO DE PROCESSO,1,0.03,1
B2_NORM,GERENTE DE PROJETOS E OBRAS,1,0.03,1
B2_NORM,GERENTE DE PROJETOS E SISTEMAS DE TI,1,0.03,1
B2_NORM,GERENTE DE PROJETOS EM M&A NO IDIS,1,0.03,1
B2_NORM,"GERENTE DE PROJETOS, PMO, MESTRE EM GESTAO ...",1,0.03,1
B2_NORM,"GERENTE DE PROJETOS, PROCESSOS E ...",1,0.03,1
B2_NORM,CAPITAL PROJECTS & CAPEX STRATEGY,1,0.03,1
B2_NORM,GERENTE DE SUPRIMENTOS & SUPPLY CHAIN ...,1,0.03,1
B2_NORM,GERENTE DE SUPRIMENTOS / COMPRAS / CONSTRUCAO CIVIL,1,0.03,1
B2_NORM,GERENTE DE SUPRIMENTOS / DESENVOLVIMENTO E ...,1,0.03,1
B2_NORM,GERENTE DE SUPRIMENTOS CORPORATIVO,1,0.03,1
B2_NORM,GERENTE DE SUPRIMENTOS DA BATERIAS MOURA,1,0.03,1
B2_NORM,GERENTE DE SUPRIMENTOS E LOGISTICA,1,0.03,1
B2_NORM,GERENTE DE SUPRIMENTOS I SUPPLY CHAIN ...,1,0.03,1
B2_NORM,GERENTE DE SUPRIMENTOS L PROCUREMENT L ...,1,0.03,1
B2_NORM,CAPEX E OPEX.,1,0.03,1
B2_NORM,CANAL RH (ROLE-BASED),1,0.03,1
B2_NORM,GERENTE REGIONAL DE LOGISTICA,1,0.03,1
B2_NORM,GESTAO DE PROCESSOS E OPEX/CAPEX.,1,0.03,1
B2_NORM,GESTAO DE PROJETOS,1,0.03,1
B2_NORM,GESTAO EM SUPPLY CHAIN,1,0.03,1
B2_NORM,GESTOR EM COMPRAS POWERTRAIN HYUNDAI MOTOR BRASIL (PIRACICABA),1,0.03,1
B2_NORM,GESTOR INDUSTRIAL * SUPPLY CHAIN ...,1,0.03,1
B2_NORM,COMPRADORA CAPEX,1,0.03,1
B2_NORM,GLOBAL SUPPLY CHAIN & PROCUREMENT LEADER - DATA CENTERS (HORTOLANDIA),1,0.03,1
B2_NORM,HEAD DE COMPRAS/SUPRIMENTOS ...,1,0.03,1
B2_NORM,HEAD DE MANUTENCAO,1,0.03,1
B2_NORM,BUYER/COMPRAS/SUPRIMENTOS/CONTRATACOES,1,0.03,1
B2_NORM,HEAD DE SUPRIMENTOS/GERENTE DE COMPRAS ...,1,0.03,1
B2_NORM,HEAD OF LOGISTICS OPERATIONS,1,0.03,1
B2_NORM,BUYER / SUPPLY CHAIN / ANALISTA DE SUPRIMENTOS - AEGEA SANEAMENTO,1,0.03,1
B2_NORM,HEAD OF PROCUREMENT AMERICAS,1,0.03,1
B2_NORM,HEAD OF PROCUREMENT SCANIA SOUTHERN AFRICA,1,0.03,1
B2_NORM,HEAD OF REGIONAL PROCUREMENT AND SUPPLY CHAIN,1,0.03,1
B2_NORM,HEAD OF SUPPLY CHAIN MANAGEMENT,1,0.03,1
B2_NORM,IT MANAGER,1,0.03,1
B2_NORM,JOINT VENTURE CMPC CELULOSE + NELTUME PORTS - OPERACAO 2028,1,0.03,1
B2_NORM,LOGISTIC & PURCHASING MANAGER,1,0.03,1
B2_NORM,LOGISTICA & SUPPLY CHAIN,1,0.03,1
B2_NORM,LOGISTICA E SUPPLY CHAIN,1,0.03,1
B2_NORM,"MANAGER, SALES & SUPPLY CHAIN",1,0.03,1
B2_NORM,MBA-SUPPLY CHAIN| CUSTOMER SERVICE,1,0.03,1
B2_NORM,OPERATIONS LEADER,1,0.03,1
B2_NORM,OPERATIONS MANAGER,1,0.03,1
B2_NORM,OPERATIONS MANAGER - NEW WAVE CARTAGE - LINKEDIN,1,0.03,1
B2_NORM,OPERATIONS MANAGER @PICK'N'DRIVE AUTO ...,1,0.03,1
B2_NORM,OPERATIONS/PROJECT MANAGER ...,1,0.03,1
B2_NORM,BUYER,1,0.03,1
B2_NORM,PHARMACEUTICAL SUPPLY CHAIN,1,0.03,1
B2_NORM,PLANEJADOR DE MANUTENCAO,1,0.03,1
B2_NORM,PLANT MAINTENANCE MANAGER,1,0.03,1
B2_NORM,PMO ; GERENTE DE PROJETOS,1,0.03,1
B2_NORM,SUPERVISORA DE COMPRAS,1,0.03,1
B2_NORM,SUPERVISORA DE SUPPLY CHAIN,1,0.03,1
B2_NORM,AENA BRASIL SA,1,0.03,1
B2_NORM,SUPPLY CHAIN @PSYCHOBUNNY,1,0.03,1
B2_NORM,SUPPLY CHAIN DESIGN STRATEGIST,1,0.03,1
B2_NORM,SUPPLY CHAIN EXPERT,1,0.03,1
B2_NORM,ADM CONTRACTUAL DIRECTOR,1,0.03,1
B2_NORM,SUPPLY CHAIN MANAGER I HEAD OF SUPPLY ...,1,0.03,1
B2_NORM,SUPPLY CHAIN OPTIMIZATION,1,0.03,1
B2_NORM,SUPPLY CHAIN PLANNING,1,0.03,1
B2_NORM,"SUPPLY CHAIN, PROCUREMENT, CONTRACTS, COMMERCIAL",1,0.03,1
B2_NORM,"SUPPLY CHAIN, SAP E PROCESSOS DE COMPRAS",1,0.03,1
B2_NORM,SUPPLY CHAIN/LOGISTICS MANAGEMENT,1,0.03,1
B2_NORM,SUPPLY CHAIN|LOGISTICS|PROJECTS,1,0.03,1
B2_NORM,"SUPPLY ENGINEER / PROCUREMENT MANAGER, CONTRACT ...",1,0.03,1
B2_NORM,UPS SUPPLY CHAIN SOLUTIONS,1,0.03,1
B2_NORM,COMPRADORA SENIOR,1,0.03,1
B2_NORM,COMPRAS / SUPPLY CHAIN,1,0.03,1
B2_NORM,COMPRAS/CONTRATOS CORPORATIVOS - PORTONAVE S/A TERMINAIS NAVEGANTES,1,0.03,1
B2_NORM,COO SIGMA LITHIUM,1,0.03,1
B2_NORM,COORDENADOR COMPRAS/SUPRIMENTOS,1,0.03,1
B2_NORM,COORDENADOR DE ENERGIA E EFICIENCIA ENERGETICA - AEGEA,1,0.03,1
B2_NORM,COMPRADOR TECNICO,1,0.03,1
B2_NORM,COORDENADOR DE ENGENHARIA - AEGEA SANEAMENTO,1,0.03,1
B2_NORM,COORDENADOR DE LOGISTICA / MERCADO LIVRE - LINKEDIN,1,0.03,1
B2_NORM,COORDENADOR DE LOGISTICA E SUPRIMENTOS,1,0.03,1
B2_NORM,COORDENADOR DE PROJETOS,1,0.03,1
B3_OURO_PRATA,REGIONAL LOGISTICS DIRECTOR,514,16.26,1
B3_OURO_PRATA,DIRETOR,314,9.93,2
B3_OURO_PRATA,GERENTE DE COMPRAS,230,7.27,4
B3_OURO_PRATA,GERENTE DE SUPRIMENTOS,176,5.57,10
B3_OURO_PRATA,ENGENHEIRO DE PROJETOS,157,4.97,4
B3_OURO_PRATA,COORDENADORA DE SUPRIMENTOS,109,3.45,1
B3_OURO_PRATA,DIRETOR COMERCIAL,80,2.53,2
B3_OURO_PRATA,RIO+ SANEAMENTO BL3 S.A,65,2.06,1
B3_OURO_PRATA,SUPPLY CHAIN,59,1.87,4
B3_OURO_PRATA,STRATEGIC SOURCING & SUPPLY CHAIN,56,1.77,1
B3_OURO_PRATA,DIRETOR DE PROJETOS,51,1.61,2
B3_OURO_PRATA,COORDENADOR DE ENGENHARIA,42,1.33,1
B3_OURO_PRATA,PROCUREMENT MANAGER,41,1.30,9
B3_OURO_PRATA,ADMINISTRADOR,41,1.30,1
B3_OURO_PRATA,GERENTE DE MARKETING CEMIG,40,1.27,1
B3_OURO_PRATA,GERENTE DE TECNOLOGIA,38,1.20,1
B3_OURO_PRATA,COMPRAS,35,1.11,1
B3_OURO_PRATA,ENGENHEIRO CIVIL,34,1.08,4
B3_OURO_PRATA,PRESIDENTE,33,1.04,1
B3_OURO_PRATA,GERENTE DE PROJETOS,31,0.98,6
B3_OURO_PRATA,GERENTE DE ENGENHARIA,31,0.98,8
B3_OURO_PRATA,SUPPLY CHAIN MANAGER,30,0.95,3
B3_OURO_PRATA,COMPRADOR,20,0.63,3
B3_OURO_PRATA,PROCUREMENT DIRECTOR,19,0.60,1
B3_OURO_PRATA,SOCIO-ADMINISTRADOR,19,0.60,1
B3_OURO_PRATA,PARTNER,18,0.57,1
B3_OURO_PRATA,HEAD DE SUPRIMENTOS,17,0.54,1
B3_OURO_PRATA,SUPRIMENTOS,17,0.54,1
B3_OURO_PRATA,GERENTE DE MANUTENCAO,16,0.51,2
B3_OURO_PRATA,DIRETOR EXECUTIVO DE REGULACAO,16,0.51,1
B3_OURO_PRATA,PURCHASING MANAGER,15,0.47,1
B3_OURO_PRATA,HEAD OF PROCUREMENT,15,0.47,5
B3_OURO_PRATA,DIRETOR DE OPERACOES E MANUTENCAO,14,0.44,1
B3_OURO_PRATA,COMPRADOR SENIOR,14,0.44,1
