bloco,chave,qtd,pct,variantes
B1_BRUTO,"Supply Chain Planning, Projects and Digital ...",4,,
B1_BRUTO,Especialistas em Logística e Supply Chain.,3,,
B1_BRUTO,MBA in Supply Chain Management.,3,,
B1_BRUTO,Compradora Capex I Axia Energia,3,,
B1_BRUTO,Gerente Industrial e de Manutenção,3,,
B1_BRUTO,Gerente de Suprimentos ...,3,,
B1_BRUTO,Gerente de Suprimentos para Projetos na Vale,3,,
B1_BRUTO,Global Procurement Leader,3,,
B1_BRUTO,Gerente de Projetos e Engenharia,3,,
B1_BRUTO,gerente de compras coamo,3,,
B1_BRUTO,Project Engineer at Crown Iron Works,3,,
B1_BRUTO,Gerente de Engenharia de Manutenção,3,,
B1_BRUTO,Gerente de Projetos Sênior ...,3,,
B1_BRUTO,Suprimentos CAPEX,3,,
B1_BRUTO,Logistics & Supply Chain,3,,
B1_BRUTO,Compradora,3,,
B1_BRUTO,Gerente de Projetos Sênior,3,,
B1_BRUTO,Contracts & Procurement Manager,3,,
B1_BRUTO,ENGENHEIRO CIVIL,3,,
B1_BRUTO,Procurement Manager Eletrobras,3,,
B1_BRUTO,"Diretos, Indiretos & CapEx",3,,
B1_BRUTO,General Operations Manager,3,,
B1_BRUTO,Senior Purchasing & Supply Chain Executive,3,,
B1_BRUTO,Executiva Sênior de Supply Chain em demandas ...,3,,
B1_BRUTO,"Gerente de Engenharia, Manutenção e Energias",3,,
B1_BRUTO,Senior Buyer,2,,
B1_BRUTO,Engenheiro civil de projetos na Companhia de ...,2,,
B1_BRUTO,Comprador Estratégico,2,,
B1_BRUTO,Gerente de Suprimentos de Projeto na ...,2,,
B1_BRUTO,Senior Procurement Manager at Thyssenkrupp,2,,
B1_BRUTO,Executivo de Supply Chain and Procurement,2,,
B1_BRUTO,Supply Chain Director,2,,
B1_BRUTO,Maintenance Manager l Technical ...,2,,
B1_BRUTO,Diretor de Engenharia,2,,
B1_BRUTO,"Purchasing, Procurement, Contracts Management",2,,
B1_BRUTO,Lead Supply Chain Optimization,2,,
B1_BRUTO,Engenheiro de Projetos de Eletricidade,2,,
B1_BRUTO,Strategic Procurement & Capex Leader,2,,
B1_BRUTO,Engenheiro Civil/Militar,2,,
B1_BRUTO,Senior Purchasing Manager at Fueling Sustainability,2,,
B1_BRUTO,Gerente de Suprimentos na Karina ...,2,,
B1_BRUTO,Projetos,2,,
B1_BRUTO,Coordenador de Suprimentos de Engenharia,2,,
B1_BRUTO,Comprador Sr na JBS Ituiutaba,2,,
B1_BRUTO,Coordenador de Operações,2,,
B1_BRUTO,Sr DC Capex Procurement Manager,2,,
B1_BRUTO,Gerente Comercial Raizen Combustíveis SA,2,,
B1_BRUTO,Tax & Accounting Director,2,,
B1_BRUTO,Subestações); Sourcing; Procurement.,2,,
B1_BRUTO,Gerente de Engenharia de Tubulação,2,,
B1_BRUTO,Gerente de Suprimentos na Estaleiro Navship Ltda,2,,
B1_BRUTO,Diretora Regional de Supply Chain @ Ascenty,2,,
B1_BRUTO,Diretora Jurídica e Compliance,2,,
B1_BRUTO,Assistente Administrativo Supply Chain ...,2,,
B1_BRUTO,Supply Chain at Irani Papel e Embalagem S.A.,2,,
B1_BRUTO,Diretor Controladoria e Finanças,2,,
B1_BRUTO,Gerente de projetos | Tech Mahindra - LinkedIn,2,,
B1_BRUTO,Procurement,2,,
B1_BRUTO,Software Engineering Manager @ Embraer,2,,
B1_BRUTO,Procurement Manager @ ADM - LinkedIn,2,,
B1_BRUTO,Supply Chain / Purchasing Manager / Administrator ...,2,,
B1_BRUTO,Engenheira Projetista,2,,
B1_BRUTO,Gerente de Operações - Agrion Fertilizantes,2,,
B1_BRUTO,Diretor de Supply Chain Latam,2,,
B1_BRUTO,Coordenador de compras na Klabin - LinkedIn,2,,
B1_BRUTO,Category Buyer,2,,
B1_BRUTO,"Manager, Global Technical Sales Team",2,,
B1_BRUTO,Project Engineering na The Coca-Cola ...,2,,
B1_BRUTO,Comprador pleno RRP Energia LTDA,2,,
B1_BRUTO,"Procurement, Suprimentos, Supply Chain, Compras ...",2,,
B1_BRUTO,Gerente de Engenharia — Grupo Agis,2,,
B1_BRUTO,"Gerente de Projetos, Gerente de Contratos ...",2,,
B1_BRUTO,Especialista Compras CAPEX,2,,
B1_BRUTO,Supply Chain Transformation Leader,2,,
B1_BRUTO,Gerente de Suprimentos em Projetos,2,,
B1_BRUTO,Arauco celulose do Brasil S.A,2,,
B1_BRUTO,Supply chain at Gerdau S.A.,2,,
B1_BRUTO,Procurement & Strategic Sourcing,2,,
B1_BRUTO,Head of Supply Chain,2,,
