id|nome|empresa|cnpj|valor_estimado|uf|setor
44f06f4a-fde2-4ae3-a0a4-f1b85eff0835|Campo de Petróleo: Búzios (Transfer of Rights) (Santos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|384000000000|RJ|PETROLEO_GAS
45ba3d5d-e43e-44da-b256-fcee3e6d4932|Campo de Petróleo: Tupi / Lula (Santos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|50000000000.0|RJ|PETROLEO_GAS
c7a66105-95e0-436e-a0ea-f81b87b0efff|Campo de Petróleo: Mero / Libra (Santos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|40000000000.0|RJ|PETROLEO_GAS
4b420bb6-b43d-4a94-b9a4-10f8c5ebdec1|Sucuriú|ARAUCO CELULOSE DO BRASIL S.A.|47658073000139|25000000000|MS|ENERGIA
646af503-bf70-48b0-94d0-d2a9a40056fd|Projeto Sucuriú (Arauco)|Projeto Sucuriú (Arauco)|16404287000155|25000000000|MS|INDUSTRIAL
e02784c0-8ab2-4189-a100-34f473b5d6c3|Campo de Petróleo: BM-SEAL-11 / Sergipe Águas Profundas (Sergipe-Alagoas)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|25000000000.0|SE|PETROLEO_GAS
bd008279-505a-4145-b6e3-bd42607aaa30|Campo de Petróleo: Roncador (Campos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|20000000000.0|RJ|PETROLEO_GAS
b0b3e11b-f785-4e85-87bf-06afcfff56ea|Campo de Petróleo: Sépia (Santos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|20000000000.0|RJ|PETROLEO_GAS
5d90f0de-821f-4a9a-9bd9-fa045e7643e1|Campo de Petróleo: Atapu (Santos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|18000000000.0|RJ|PETROLEO_GAS
517a7195-b571-4701-a75f-a83f5f208225|Campo de Petróleo: Sapinhoá (Santos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|15000000000.0|RJ|PETROLEO_GAS
648c945f-4c0a-41f2-bc4a-24b5350929db|Campo de Petróleo: Parque das Baleias (Jubarte/Baleia Azul) (Campos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|12000000000.0|ES|PETROLEO_GAS
eba629a8-2d3b-4ebd-851e-f8f9b71d9d5f|Ponte Salvador-Itaparica|Concessionária Sistema Rodoviário Ponte Salvador-Ilha de Itaparica S.A.|38327308000119|10400000000|BA|INFRAESTRUTURA
76c414e8-b6c2-4486-8219-2566a0840065|Campo de Petróleo: Júpiter (Pré-sal Gás) (Santos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|10000000000.0|RJ|PETROLEO_GAS
067d81ec-9f26-4fec-93ce-a3f2d9ff0ff8|Petrobras (GASLUB)|Petrobras (GASLUB)|33000167000101|9600000000.0|RJ|ENERGIA
31ec2113-bd98-4ecd-bcb6-0689c99aa267|BNDES / Ind. ES|BNDES / Ind. ES|33657248000189|9000000000.0|ES|INDUSTRIAL
7d1ddbd5-c13e-4e76-b488-8bfa965a14da|Duplicação Serra das Araras|Duplicação Serra das Araras|04892707000100|9000000000.0|RJ|INFRAESTRUTURA
32b811c6-7dc5-4044-9c52-ccd2ab747faa|Campo de Petróleo: Marlim Azul (revitalização) (Campos)|PETRÓLEO BRASILEIRO S.A. - PETROBRAS|33000167000101|8000000000.0|RJ|PETROLEO_GAS
333b8feb-2c67-497b-8fec-af64085e1f97|Frigorifico: JBS S/A (1939 SIFs)|JBS S/A|02916265008306|8000000000|AC|FRIGORIFICO
93e9c106-9851-4a26-8ce9-9c70da7746bb|Mineração de FERRO - /PA (Proc. 852145)|VALE S.A.|33592510000154|5785945619.52|PA|MINERACAO
